population,seed,noise,value,momentum,meanrev,kurtosis,volatility,acf_return_lag1,acf_squared_lag1,max_drawdown,spread_mean,volume_mean,price_final,price_return_pct
Noise Heavy,0,12,2,2,1,-0.286970396494421,0.0003412314836448872,0.25695064309104576,0.07850036173677567,-0.01163681186803879,0.0002,79.73166399437716,104.39699017719103,4.396990177191018
Noise Heavy,1,12,2,2,1,-0.2221657177424996,0.0003548897044042694,0.20918888262170818,0.040094007728297736,-0.04869599641937167,0.0002,78.73933871441452,98.59988774665263,-1.4001122533473742
Noise Heavy,2,12,2,2,1,-0.2864166527234646,0.00031410848955341653,-0.02293258757241071,0.04754772881234841,-0.014366254910324163,0.0002,84.7850429299031,99.42678829909944,-0.5732117009005555
Noise Heavy,3,12,2,2,1,0.1937637954341982,0.0003836738528584704,0.40080087732983904,0.10511091756237688,-0.042069386018356435,0.0002,81.84460054921423,103.37350176151142,3.3735017615114105
Noise Heavy,4,12,2,2,1,0.03387239974821821,0.0003096521750161045,0.04629551554328221,0.001722087429218693,-0.01957766822398704,0.0002,74.67479307830565,102.1200895905646,2.1200895905646
Value Heavy,0,3,10,2,2,0.12575189524127683,0.00030105723578395624,0.1538641196405623,0.06777992367189031,-0.024500224267464857,0.0002,168.90346868308043,99.21878353908731,-0.7812164609126926
Value Heavy,1,3,10,2,2,-0.22526347745252506,0.00028966077707263076,0.07158334595516526,-0.03921183528106485,-0.020300955039537768,0.0002,167.40111205430046,99.91125037263654,-0.08874962736346026
Value Heavy,2,3,10,2,2,-0.18132389304480112,0.0003003382772301211,0.0284487758301688,-0.03687665676857349,-0.010019609907250796,0.0002,151.7726020083325,100.4116854359388,0.41168543593879114
Value Heavy,3,3,10,2,2,-0.32844374048956704,0.00034392205303310854,0.4137979835833446,0.13100347065183643,-0.035822154071997264,0.0002,152.35764597939152,98.09516682408218,-1.9048331759178194
Value Heavy,4,3,10,2,2,0.03652207457598822,0.0002974046859314818,0.09272878707276433,0.22383856223679527,-0.03493312374585102,0.0002,182.4828494084647,96.90725560148879,-3.0927443985112157
Momentum Heavy,0,3,2,10,2,-0.005656688122614106,0.0002704487548765147,-0.00783198586674341,0.03048183120964583,-0.024605325486861018,0.0002,68.86980794073693,98.9707553934578,-1.0292446065422123
Momentum Heavy,1,3,2,10,2,-0.7176408935091669,0.00038995825044753856,0.5560114804332235,0.3934451716268257,-0.030358061455744108,0.0002,66.77028857099448,106.7995349940805,6.799534994080503
Momentum Heavy,2,3,2,10,2,-0.17730114248203677,0.000312075749654938,0.18545234448484318,0.05313285257978857,-0.019889158373612048,0.0002,53.759566940167474,102.10904826251064,2.1090482625106377
Momentum Heavy,3,3,2,10,2,-0.15299239456395197,0.00026016445714223944,-0.14297420009816936,-0.04191223412077527,-0.0036896099195035605,0.0002,42.01565493948703,102.10724529965577,2.10724529965578
Momentum Heavy,4,3,2,10,2,-0.08739321033257141,0.00028311380692892124,0.05101622284435518,-0.06755540711923981,-0.025605836791321012,0.0002,57.773374824513056,100.57659767725028,0.5765976772502679
Balanced,0,5,5,4,4,0.11924966573159201,0.00030479799840357427,-0.2866133218877738,0.10624019179581061,-0.018475555969241195,0.0002,86.0217365117528,98.39695816136762,-1.6030418386323797
Balanced,1,5,5,4,4,-0.32239374591341097,0.0003174504268619954,-0.33558720361710787,0.10162047540381937,-0.005500338269441622,0.0002,95.8139620540767,100.71119469405221,0.7111946940522085
Balanced,2,5,5,4,4,-0.2931987763021584,0.00033322245790924377,-0.219256961960769,-0.0097152063376281,-0.030848386841036923,0.0002,105.42529268656916,98.58869447956916,-1.411305520430839
Balanced,3,5,5,4,4,-0.03882902252316445,0.00033679592940894876,-0.20057962515447172,0.0009572855074456321,-0.03638936541967567,0.0002,137.44677707685594,96.38430885195525,-3.615691148044742
Balanced,4,5,5,4,4,-0.19828499894394858,0.0003246781720647987,-0.2983037963460873,0.11926120651277142,-0.010891442879640069,0.0002,106.73041032767894,99.82313287833976,-0.1768671216602402
